107-06-09    11:13                                            Page      1.1     
0   PROGRAM  TYPE SQL       TIMEPCT CPUPCT  INDB2_TIME   INDB2_CPU    GETPAGE   
 _  TA056D1  PKGE       978    .02%    .01% 00:00.676505 00:00.103829       2413
 _  PR515D1  PKGE      1710    .01%    .01% 00:00.453706 00:00.103133       1508
 _  RER0050R PKGE      3837    .01%    .01% 00:00.335613 00:00.097834        472
 _  OR561D1  PKGE      2762    .02%    .01% 00:00.548307 00:00.097327       1081
 _  TA019D1  PKGE       777    .00%    .01% 00:00.223705 00:00.096110       2321
 _  SS892A   PKGE       700    .04%    .01% 00:01.066705 00:00.095507       2069
 _  PR504D1  PKGE       714    .05%    .01% 00:01.193061 00:00.094928       2273
 _  TA029R3  PKGE      1761    .00%    .01% 00:00.098776 00:00.093899       1551
 _  PR561D1  PKGE       879    .01%    .01% 00:00.407434 00:00.091979       2237
 _  TA107D1  PKGE      1029    .01%    .01% 00:00.320040 00:00.091372       1352
 _  TA143D2  PKGE      1533    .00%    .01% 00:00.095059 00:00.090923       1490
 _  SS790A   PKGE       422    .02%    .01% 00:00.641889 00:00.090349       9007
 _  TA303D1  PKGE      1731    .01%    .01% 00:00.334657 00:00.089524       1191
 _  TA212D1  PKGE      2169    .00%    .01% 00:00.110372 00:00.087796       1152
 _  OR512D2  PKGE      1002    .00%    .01% 00:00.162324 00:00.087773        987
 _  OR538D2  PKGE      2853    .01%    .01% 00:00.249441 00:00.087232       1902
 _  AE501D2  PKGE      1975    .00%    .01% 00:00.126367 00:00.084573       1739
107-06-09    11:13                                            Page      5.1     
0   PROGRAM  TYPE SQL       TIMEPCT CPUPCT  INDB2_TIME   INDB2_CPU    GETPAGE   
    -------- ---- --------- ------- ------- ------------ ------------ ----------
 _  PE529D1  PKGE      1290    .00%    .00% 00:00.116599 00:00.084409       1100
 _  OR539D2  PKGE      2853    .00%    .00% 00:00.164706 00:00.081649       1902
 _  NM070D1  PKGE       594    .00%    .00% 00:00.194801 00:00.081136        396
 _  TA074D1  PKGE      1494    .01%    .00% 00:00.266670 00:00.079778       1265
 _  PR509D1  PKGE      1079    .01%    .00% 00:00.363609 00:00.078695       1565
 _  AL260B1  PKGE       920    .01%    .00% 00:00.440453 00:00.075089        572
 _  TA127R3  PKGE      1263    .00%    .00% 00:00.119925 00:00.073992       1224
 _  TA209D1  PKGE      1044    .03%    .00% 00:00.914580 00:00.073716        923
 _  EC513D3  PKGE       525    .00%    .00% 00:00.214956 00:00.073634       1355
 _  TA045R3  PKGE      2229    .00%    .00% 00:00.159800 00:00.073622       1119
 _  TA339D1  PKGE      4536    .01%    .00% 00:00.400891 00:00.072730        386
 _  TA150R3  PKGE      1563    .00%    .00% 00:00.076669 00:00.072723       1203
 _  EC524D1  PKGE      2298    .01%    .00% 00:00.268006 00:00.072690        486
 _  OR562D1  PKGE       352    .01%    .00% 00:00.275097 00:00.072640       1932
 _  OR518D1  PKGE       255    .00%    .00% 00:00.229492 00:00.072143       2028
 _  TA305D1  PKGE      2715    .01%    .00% 00:00.246879 00:00.071970        742
 _  TA113D1  PKGE       879    .00%    .00% 00:00.074120 00:00.071172        879
 _  TA148D1  PKGE      2094    .00%    .00% 00:00.150943 00:00.069757       1473
 _  TA104D1  PKGE      2346    .00%    .00% 00:00.072110 00:00.069731       1008
 _  TA028D1  PKGE       942    .00%    .00% 00:00.147761 00:00.069532       1884
 _  TA101D1  PKGE       948    .00%    .00% 00:00.105427 00:00.069136        948
 _  TA259D2  PKGE       963    .00%    .00% 00:00.220370 00:00.066008       1032
 _  PR527D1  PKGE      1087    .01%    .00% 00:00.362960 00:00.065640       1065
 _  EC515D3  PKGE       433    .00%    .00% 00:00.102993 00:00.065304       1401
 _  OR542D1  PKGE       403    .00%    .00% 00:00.096026 00:00.064824       1324
 _  TA082D2  PKGE      1517    .00%    .00% 00:00.084610 00:00.064052        638
 _  TA368D2  PKGE      1401    .00%    .00% 00:00.130826 00:00.063882        934
 _  EELOGDT  PKGE       316    .01%    .00% 00:00.368857 00:00.063465        900
 _  PR513D1  PKGE       884    .01%    .00% 00:00.309443 00:00.063409       1298
 _  REEM095R PKGE       686    .01%    .00% 00:00.366302 00:00.062800       2039
 _  TA278R3  PKGE      2028    .00%    .00% 00:00.064984 00:00.062225        921
 _  TA098D1  PKGE       860    .00%    .00% 00:00.091190 00:00.061719        645
 _  SS895A   PKGE      2279    .02%    .00% 00:00.591413 00:00.058803        871
 _  TA144R3  PKGE      2070    .00%    .00% 00:00.208783 00:00.058523        762
 _  PR526D1  PKGE       441    .01%    .00% 00:00.250926 00:00.057292        995
 _  MFDTUTIL PKGE       420    .00%    .00% 00:00.230670 00:00.057099        454
 _  PR505D4  PKGE       194    .08%    .00% 00:01.920524 00:00.056964       2062
 _  OR532D2  PKGE      1329    .00%    .00% 00:00.122494 00:00.056926        971
 _  TA177D2  PKGE      1480    .00%    .00% 00:00.059699 00:00.056851        582
 _  TA178D2  PKGE       588    .00%    .00% 00:00.136886 00:00.056317       1260
 _  TA114D1  PKGE       849    .00%    .00% 00:00.142350 00:00.055576        849
 _  OR546D1  PKGE       744    .01%    .00% 00:00.355130 00:00.055155       1416
 _  TA083D2  PKGE      1517    .00%    .00% 00:00.057258 00:00.054716        638
 _  TA171D1  PKGE      1002    .00%    .00% 00:00.137663 00:00.054608       1000
 _  TA193D1  PKGE       837    .00%    .00% 00:00.113864 00:00.054294        624
 _  TA084D2  PKGE      1615    .00%    .00% 00:00.093279 00:00.053917        688
 _  TA272D1  PKGE       861    .00%    .00% 00:00.087800 00:00.053765       1574
 _  PR521D1  PKGE       328    .01%    .00% 00:00.409309 00:00.051765       2429
 _  PR514D1  PKGE      1017    .00%    .00% 00:00.198249 00:00.051621        828
 _  AU50A    PKGE       373    .00%    .00% 00:00.129632 00:00.050657        838
 _  TA286D2  PKGE      2064    .00%    .00% 00:00.060797 00:00.049852        483
 _  TA300D1  PKGE       738    .00%    .00% 00:00.069757 00:00.049777       1215
107-06-09    11:13                                            Page      6.1     
0   PROGRAM  TYPE SQL       TIMEPCT CPUPCT  INDB2_TIME   INDB2_CPU    GETPAGE   
    -------- ---- --------- ------- ------- ------------ ------------ ----------
 _  EC503D2  PKGE       363    .03%    .00% 00:00.712214 00:00.049052       1065
 _  TA245D1  PKGE       570    .01%    .00% 00:00.360908 00:00.048810        580
 _  TA210D2  PKGE       936    .00%    .00% 00:00.166241 00:00.048088        385
 _  EC511D3  PKGE       237    .00%    .00% 00:00.124514 00:00.047974        937
 _  TA284D2  PKGE       690    .00%    .00% 00:00.066988 00:00.047182        460
 _  EC519D3  PKGE       346    .00%    .00% 00:00.065880 00:00.047062        966
 _  OR515D1  PKGE       283    .00%    .00% 00:00.159678 00:00.046110       1035
 _  TA285D2  PKGE      1548    .01%    .00% 00:00.242067 00:00.046052       1032
 _  TA343D1  PKGE      2292    .00%    .00% 00:00.103972 00:00.045599        180
 _  TA276D1  PKGE      1584    .00%    .00% 00:00.046649 00:00.045300       1254
 _  EC535D2  PKGE       883    .03%    .00% 00:00.766994 00:00.044635        501
 _  EESP020R PKGE       675    .00%    .00% 00:00.154317 00:00.044552        675
 _  SS720A   PKGE       322    .00%    .00% 00:00.218169 00:00.043999       1084
 _  SA379A   PKGE       906    .00%    .00% 00:00.219613 00:00.042999       1522
 _  EC513D1  PKGE       567    .00%    .00% 00:00.152110 00:00.042910        612
 _  OR511D1  PKGE       340    .00%    .00% 00:00.230825 00:00.042769        823
 _  PR519D1  PKGE       448    .01%    .00% 00:00.243956 00:00.040909        603
 _  TA139R3  PKGE       786    .01%    .00% 00:00.359213 00:00.040901        786
 _  PR512D1  PKGE       439    .00%    .00% 00:00.117654 00:00.040846        590
 _  TA118R1  PKGE       296    .00%    .00% 00:00.154967 00:00.040785       2341
 _  TA274D1  PKGE       252    .00%    .00% 00:00.064534 00:00.040767       1023
 _  WPC0015A PKGE        33    .11%    .00% 00:02.710260 00:00.040619       1511
 _  OR524D1  PKGE       202    .00%    .00% 00:00.111856 00:00.039990        600
 _  GD538D1  PKGE       607    .00%    .00% 00:00.184662 00:00.039813        538
 _  PR529D1  PKGE       212    .01%    .00% 00:00.274624 00:00.039611        909
 _  EESP010R PKGE       549    .04%    .00% 00:01.111254 00:00.039452        549
 _  TA318D1  PKGE      1266    .00%    .00% 00:00.179473 00:00.039294        136
 _  PR552D1  PKGE       196    .01%    .00% 00:00.415520 00:00.039041        605
 _  TA158R3  PKGE       654    .00%    .00% 00:00.065423 00:00.037049        501
 _  SA280A   PKGE       410    .01%    .00% 00:00.388975 00:00.036619        622
 _  PR574D2  PKGE       408    .00%    .00% 00:00.080119 00:00.036402        954
 _  PR501D1  PKGE       328    .00%    .00% 00:00.082291 00:00.036329        564
 _  PR513D2  PKGE       912    .00%    .00% 00:00.037901 00:00.036292        614
 _  EC501D2  PKGE       680    .00%    .00% 00:00.084049 00:00.035483        529
 _  EC519D1  PKGE       217    .04%    .00% 00:00.952240 00:00.035136        443
 _  REEM137R PKGE       152    .00%    .00% 00:00.036251 00:00.034582        453
 _  PR543D1  PKGE       181    .00%    .00% 00:00.171891 00:00.034467        498
 _  AP120R1  PKGE       436    .01%    .00% 00:00.427308 00:00.034325       1047
 _  PR537D1  PKGE       480    .00%    .00% 00:00.036712 00:00.033585        396
 _  EC500D5  PKGE       321    .00%    .00% 00:00.035431 00:00.033571        429
 _  OR560D1  PKGE       146    .00%    .00% 00:00.212029 00:00.033121        859
 _  OR540D1  PKGE       269    .01%    .00% 00:00.282355 00:00.033062       1452
 _  PR544D1  PKGE       418    .00%    .00% 00:00.210524 00:00.032972        562
 _  EC500D6  PKGE        92    .02%    .00% 00:00.567894 00:00.032438        276
 _  TA169R3  PKGE       621    .00%    .00% 00:00.127468 00:00.032403        621
 _  EC511D1  PKGE       140    .04%    .00% 00:01.076557 00:00.032214        445
 _  ABREVIAC PKGE       705    .00%    .00% 00:00.081218 00:00.031433          0
 _  OR549D1  PKGE       654    .00%    .00% 00:00.135799 00:00.031189        501
 _  RE74A    PKGE       762    .00%    .00% 00:00.116534 00:00.030793        683
 _  MK005R3  PKGE       581    .00%    .00% 00:00.141779 00:00.030355        689
 _  SNA9002R PKGE       262    .00%    .00% 00:00.093600 00:00.030059        548
 _  NM040D1  PKGE       993    .00%    .00% 00:00.124166 00:00.029940        106
107-06-09    11:13                                            Page      7.1     
0   PROGRAM  TYPE SQL       TIMEPCT CPUPCT  INDB2_TIME   INDB2_CPU    GETPAGE   
    -------- ---- --------- ------- ------- ------------ ------------ ----------
